cell,window_index,offset,method,n_steps,sla_sum,resource_sum,adaptation_nonnoop_sum,source_vertical_sum,action_change_sum,sla_rate,resource_mean,adaptation_nonnoop_rate,source_vertical_rate,action_change_rate
p1_lag_k10,0,12003,rossi,4001.0,54.0,1117.0199999999998,463.0,119.0,521.0,0.013496625843539115,0.2791852036990752,0.11572106973256686,0.029742564358910272,0.13025
p1_lag_k10,0,12003,threshold,4001.0,1150.0,1794.1999999999998,1988.0,0.0,453.0,0.28742814296425895,0.4484378905273681,0.49687578105473634,0.0,0.11325
p1_lag_k10,1,28007,rossi,4001.0,64.0,976.76,650.0,151.0,722.0,0.015996000999750064,0.24412896775806048,0.16245938515371158,0.037740564858785304,0.1805
p1_lag_k10,1,28007,threshold,4001.0,1008.0,1616.4,1794.0,0.0,403.0,0.2519370157460635,0.4039990002499375,0.4483879030242439,0.0,0.10075
p1_lag_k10,2,36009,rossi,4001.0,46.0,1081.42,762.0,82.0,936.0,0.011497125718570358,0.2702874281429643,0.19045238690327418,0.020494876280929768,0.234
p1_lag_k10,2,36009,threshold,4001.0,1081.0,1713.1999999999998,1902.0,0.0,445.0,0.2701824543864034,0.42819295176205946,0.4753811547113222,0.0,0.11125
p1_lag_k10,3,56014,rossi,4001.0,64.0,913.1400000000001,481.0,121.0,636.0,0.015996000999750064,0.22822794301424645,0.12021994501374657,0.030242439390152462,0.159
p1_lag_k10,3,56014,threshold,4001.0,941.0,1541.3,1715.0,0.0,409.0,0.23519120219945014,0.3852286928267933,0.42864283929017744,0.0,0.10225
p1_lag_k10,4,60015,rossi,4001.0,59.0,1118.3400000000001,907.0,114.0,1196.0,0.01474631342164459,0.27951512121969513,0.22669332666833292,0.0284928767808048,0.299
p1_lag_k10,4,60015,threshold,4001.0,1042.0,1689.6,1838.0,0.0,430.0,0.2604348912771807,0.42229442639340165,0.4593851537115721,0.0,0.1075
p1_lag_k10,5,76019,rossi,4001.0,54.0,1117.9799999999998,707.0,97.0,947.0,0.013496625843539115,0.27942514371407146,0.17670582354411396,0.02424393901524619,0.23675
p1_lag_k10,5,76019,threshold,4001.0,1109.0,1759.3999999999999,1892.0,0.0,452.0,0.27718070482379403,0.439740064983754,0.47288177955511124,0.0,0.113
p1_lag_k10,6,84021,rossi,4001.0,60.0,1226.71,566.0,95.0,818.0,0.014996250937265684,0.30660084978755314,0.14146463384153962,0.023744063984004,0.2045
p1_lag_k10,6,84021,threshold,4001.0,1213.0,1928.0,2036.0,0.0,485.0,0.3031742064483879,0.48187953011747064,0.5088727818045489,0.0,0.12125
p1_lag_k10,7,96024,rossi,4001.0,61.0,1142.93,703.0,115.0,947.0,0.015246188452886777,0.2856610847288178,0.1757060734816296,0.028742814296425893,0.23675
p1_lag_k10,7,96024,threshold,4001.0,1095.0,1758.4999999999998,1916.0,0.0,460.0,0.2736815796050987,0.439515121219695,0.47888027993001747,0.0,0.115
p1_lag_k10,8,116029,rossi,4001.0,64.0,1118.7199999999998,809.0,167.0,1059.0,0.015996000999750064,0.27961009747563104,0.20219945013746563,0.04173956510872282,0.26475
p1_lag_k10,8,116029,threshold,4001.0,1067.0,1747.3999999999999,1898.0,0.0,446.0,0.2666833291677081,0.4367408147963009,0.47438140464883777,0.0,0.1115
p1_lag_k10,9,120030,rossi,4001.0,59.0,1064.6799999999998,674.0,117.0,853.0,0.01474631342164459,0.26610347413146707,0.16845788552861785,0.029242689327668082,0.21325
p1_lag_k10,9,120030,threshold,4001.0,1071.0,1697.5,1890.0,0.0,444.0,0.26768307923019247,0.42426893276680827,0.472381904523869,0.0,0.111
